carID,year,mileage,mpg,engineSize,car_age,tax_to_engine_ratio,transmission_automatic,transmission_manual,transmission_other,transmission_semiauto,mileage_bin_0-10k,mileage_bin_100k-150k,mileage_bin_10k-50k,mileage_bin_150k+,mileage_bin_50k-100k,Brand_Encoded,model_Encoded,flag_invalid_tax,flag_invalid_engineSize,flag_invalid_mileage,flag_invalid_mpg,flag_invalid_previousOwners,is_eco,is_luxury
46299,0.6666666666666666,-0.5899222943202755,-0.5939393939393938,-0.1250000000000001,-0.6666666666666666,0.39224137931034486,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24423.828716955515,23550.47975026915,0,0,0,0,1,0,1
69620,0.0,0.08095009212529039,0.36363636363636365,-0.2500000000000002,0.0,-1.0991379310344827,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16856.870038496945,11567.281212684753,0,0,0,0,0,0,0
68925,0.6666666666666666,-0.5597212208603701,-0.9454545454545455,0.4999999999999999,-0.6666666666666666,-0.045258620689655166,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16883.531097624043,11495.865124730739,0,0,0,0,1,0,0
40663,-0.3333333333333333,1.6817672033966193,4.757791242251618,0.4999999999999999,0.3333333333333333,-1.3381161682919158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24592.639648734184,23598.27169722952,0,0,0,0,1,1,1
25370,1.0,-0.6890571176800449,0.1769494669691513,-0.7500000000000001,-1.0,1.278831409817529,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12549.566846424985,13413.766088367998,0,0,0,0,1,0,0
37689,0.6666666666666666,-0.5298806376672275,-0.5572752676995408,-0.1250000000000001,-0.6666666666666666,0.389349267533674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24432.65926247679,18663.753279167213,0,0,0,0,0,0,1
44120,0.0,0.4389970359689177,-1.2969696969696969,1.7499999999999998,0.0,0.4827586206896552,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,24448.545382021195,30476.58321981089,0,0,0,0,0,0,1
37919,0.3333333333333333,-0.1723544019867019,-0.24242424242424243,0.0,-0.3333333333333333,0.28286637931034475,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24448.545382021195,20346.983844330116,0,0,0,0,0,0,1
19047,-0.3333333333333333,-0.06677080829928703,-0.06666666666666675,-0.5000000000000001,0.3333333333333333,0.5280172413793104,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12598.796466786474,10329.4484798569,0,0,0,0,1,0,0
12176,0.6666666666666666,-0.646799647520628,0.36363636363636365,0.4999999999999999,-0.6666666666666666,-0.045258620689655166,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22051.43095246068,15301.188212653933,0,0,0,0,1,0,1
